Cluster Name, Alt Name ,SWA, log(Gas Mass), log(Total Mass), Gas_Frac, Asym, ellip
      2A0335+096 ,     ,0,      12.8971901  ,        13.9165535   ,        0.0956393,0.347741395 ,0.0793800429
      A68        ,     ,0,      13.4822607  ,        14.5372791   ,        0.0881011,0.0606257357 ,0.0766231865
      A85        ,     ,0,      13.3029261  ,        14.3280783   ,        0.0943730,0.135942653 ,0.156939223
      A133       ,     ,0,      12.8287182  ,        13.9535055   ,        0.0750262,0.0556983463 ,0.0569293462
      A209       ,     ,0,      13.3022652  ,        14.2520285   ,        0.1122630,0.0391639099 ,0.025737077
      A262       ,     ,0,      12.2971010  ,        13.4158010   ,        0.0760852,0.054606095 ,0.0546883717
      A383       ,     ,1,      13.1378202  ,        14.1702662   ,        0.0928013,0.0523694158 ,0.0322527848
      A399       ,     ,0,      13.1005316  ,        14.1691761   ,        0.0853799,0.0165874492 ,0.0791491568
      A426       ,     ,0,      13.2924232  ,        14.2715931   ,        0.1049132,0.0454918072 ,0.0640463009
      A478       ,     ,1,      13.4943552  ,        14.4155817   ,        0.1198874,0.0145806251 ,0.103126474
      A496       ,     ,0,      12.8794298  ,        13.9266167   ,        0.0897043,0.0320233591 ,0.0603514723
      A520       ,     ,0,      13.4790726  ,        14.5736942   ,        0.0804226,0.0147393579 ,0.0679922253
      A576       ,     ,0,      12.8609285  ,        14.0200624   ,        0.0693212,0.0956315994 ,0.071138829 
      A665       ,     ,0,      13.4710131  ,        14.4238729   ,        0.1114654,0.023624612 ,0.0150243435
      A773       ,     ,0,      13.3904848  ,        14.4342651   ,        0.0904107,0.0279234499 ,0.0215992071
      A1060      ,     ,0,      12.4724054  ,        13.5551291   ,        0.0826564,0.0466488414 ,0.0280384645
      A1068      ,     ,0,      13.1832037  ,        14.2337809   ,        0.0890067,0.394132525, 0.0585796535
      A1413      ,     ,1,      13.3577271  ,        14.3739614   ,        0.0963309,0.0752331764 ,0.0314429998
      A1589      ,     ,0,      12.9279337  ,        14.2265835   ,        0.0502748,0.0297931228 ,0.0250794273
      A1650      ,     ,0,      13.2196550  ,        14.2852421   ,        0.0859831,0.118357047 ,0.0250813141
      A1656      ,Coma ,0,      13.4856253  ,        14.6032906   ,        0.0762667,0.0220921542, 0.0673065707
      A1689      ,     ,0,      13.6291656  ,        14.6263943   ,        0.1006402,0.0006334346 ,0.0756343007
      A1775      ,     ,1,      12.8349590  ,        13.9038134   ,        0.0853386,0.0054757753 ,0.023586113
      A1795      ,     ,1,      13.3050747  ,        14.3022528   ,        0.1006519,0.148051634 ,0.0579239652
      A1835      ,     ,1,      13.7118969  ,        14.6600437   ,        0.1126816,0.039011281 ,0.0828983337
      A1835a     ,     ,0,      13.6551514  ,        14.6510324   ,        0.1009529, 0,0
      A1837      ,     ,0,      12.7193565  ,        13.9599380   ,        0.0574670,0.081085667 ,0.0377512462
      A1914      ,     ,0,      13.6547279  ,        14.6727724   ,        0.0959302,0.0595491752 ,0.0143933492
      A1991      ,     ,0,      12.6220284  ,        13.7068090   ,        0.0822658,0.0398709625 ,0.0313385054
      A2029      ,     ,1,      13.4653454  ,        14.4209814   ,        0.1107552,0.106984004 ,0.0490608662
      A2052      ,     ,0,      12.7250147  ,        13.8019190   ,        0.0837714,0.0549520589 ,0.0670759305
      A2065      ,     ,0,      13.1607475  ,        14.2197132   ,        0.0873040,0.013628141 ,0.0675455555
      A2163      ,     ,0,      13.8862801  ,        14.7366638   ,        0.1411290,0.103116855 ,0.0049251765
